condition	time	methane	windspeed	current
OFF	2026-05-03T02:09:13	2.065000057220459	0.0	0.327625
OFF	2026-05-03T02:09:18	2.067000150680542	4.0959375	0.3273125
OFF	2026-05-03T02:09:23	2.06000018119812	4.095875	0.32706250000000003
OFF	2026-05-03T02:09:28	2.065999984741211	0.0	0.32725
OFF	2026-05-03T02:09:34	2.067000150680542	0.0	0.327125
OFF	2026-05-03T02:09:39	2.065000057220459	4.095875	0.327
OFF	2026-05-03T02:09:44	2.065999984741211	6.25e-05	0.3268125
OFF	2026-05-03T02:09:49	2.069000005722046	4.0959375	0.3268125
OFF	2026-05-03T02:09:54	2.065999984741211	4.095875	0.32656250000000003
OFF	2026-05-03T02:09:59	2.062000036239624	0.0	0.3269375
OFF	2026-05-03T02:10:04	2.064000129699707	4.0959375	0.3266875
OFF	2026-05-03T02:10:10	2.06000018119812	0.0	0.326625
OFF	2026-05-03T02:10:15	2.0490000247955322	0.0	0.32656250000000003
OFF	2026-05-03T02:10:20	2.0480000972747803	4.0959375	0.3266875
OFF	2026-05-03T02:10:25	2.0429999828338623	6.25e-05	0.326625
OFF	2026-05-03T02:10:30	2.0420000553131104	4.095875	0.3261875
OFF	2026-05-03T02:10:35	2.0360000133514404	0.0	0.32625
OFF	2026-05-03T02:10:40	2.0380001068115234	0.0	0.326375
OFF	2026-05-03T02:10:45	2.0329999923706055	4.095875	0.32625
OFF	2026-05-03T02:10:51	2.0350000858306885	6.25e-05	0.326375
OFF	2026-05-03T02:10:56	2.0370001792907715	4.0959375	0.3261875
OFF	2026-05-03T02:11:01	2.0480000972747803	4.0959375	0.32606250000000003
OFF	2026-05-03T02:11:06	2.0460000038146973	0.0	0.326375
OFF	2026-05-03T02:11:11	2.0490000247955322	4.0959375	0.326125
OFF	2026-05-03T02:11:16	2.0450000762939453	0.0	0.32625
OFF	2026-05-03T02:11:21	2.0530002117156982	4.0959375	0.3261875
OFF	2026-05-03T02:11:27	2.052000045776367	4.095875	0.32606250000000003
OFF	2026-05-03T02:11:32	2.05400013923645	0.0	0.326
OFF	2026-05-03T02:11:37	2.058000087738037	4.095875	0.3259375
OFF	2026-05-03T02:11:42	2.0530002117156982	0.0	0.32606250000000003
OFF	2026-05-03T02:11:47	2.0480000972747803	4.095875	0.3259375
OFF	2026-05-03T02:11:52	2.0530002117156982	0.0	0.32606250000000003
OFF	2026-05-03T02:11:57	2.0440001487731934	0.0	0.326
OFF	2026-05-03T02:12:03	2.0530002117156982	4.095875	0.3259375
OFF	2026-05-03T02:12:08	2.0510001182556152	6.25e-05	0.3259375
OFF	2026-05-03T02:12:13	2.052000045776367	0.0	0.32606250000000003
OFF	2026-05-03T02:12:18	2.052000045776367	4.0959375	0.326
OFF	2026-05-03T02:12:23	2.0480000972747803	0.0	0.326
OFF	2026-05-03T02:12:28	2.0429999828338623	4.0959375	0.326
OFF	2026-05-03T02:12:33	2.0480000972747803	0.0	0.32575
OFF	2026-05-03T02:12:38	2.0410001277923584	0.0	0.3259375
OFF	2026-05-03T02:12:44	2.0480000972747803	4.095875	0.32575
OFF	2026-05-03T02:12:49	2.0470001697540283	0.0	0.3258125
OFF	2026-05-03T02:12:54	2.0470001697540283	0.0	0.325875
OFF	2026-05-03T02:12:59	2.0429999828338623	4.0959375	0.325625
OFF	2026-05-03T02:13:04	2.0440001487731934	6.25e-05	0.3258125
OFF	2026-05-03T02:13:09	2.0380001068115234	4.095875	0.325625
OFF	2026-05-03T02:13:14	2.0380001068115234	0.0	0.3256875
OFF	2026-05-03T02:13:20	2.0340001583099365	0.0	0.3258125
OFF	2026-05-03T02:13:25	2.0350000858306885	4.095875	0.3256875
OFF	2026-05-03T02:13:30	2.0360000133514404	0.0	0.326
OFF	2026-05-03T02:13:35	2.0380001068115234	4.095875	0.3256875
OFF	2026-05-03T02:13:40	2.0340001583099365	0.0	0.325625
OFF	2026-05-03T02:13:45	2.0340001583099365	6.25e-05	0.32575
OFF	2026-05-03T02:13:50	2.0410001277923584	4.095875	0.325625
OFF	2026-05-03T02:13:55	2.0490000247955322	0.0	0.32556250000000003
OFF	2026-05-03T02:14:01	2.0480000972747803	4.0959375	0.32556250000000003
OFF	2026-05-03T02:14:06	2.055000066757202	6.25e-05	0.325625
OFF	2026-05-03T02:14:11	2.052000045776367	4.095875	0.3256875
OFF	2026-05-03T02:14:16	2.0530002117156982	0.0	0.325875
OFF	2026-05-03T02:14:21	2.058000087738037	4.0959375	0.32575
OFF	2026-05-03T02:14:26	2.063000202178955	4.0959375	0.3255
OFF	2026-05-03T02:14:31	2.063000202178955	4.095875	0.325375
OFF	2026-05-03T02:14:37	2.057000160217285	4.095875	0.32556250000000003
OFF	2026-05-03T02:14:42	2.064000129699707	4.0959375	0.32575
OFF	2026-05-03T02:14:47	2.065000057220459	4.095875	0.32556250000000003
OFF	2026-05-03T02:14:52	2.070000171661377	0.0	0.3256875
OFF	2026-05-03T02:14:57	2.069000005722046	4.0959375	0.3255
OFF	2026-05-03T02:15:02	2.073000192642212	0.0	0.3258125
OFF	2026-05-03T02:15:07	2.076000213623047	4.095875	0.3256875
OFF	2026-05-03T02:15:13	2.071000099182129	6.25e-05	0.325875
OFF	2026-05-03T02:15:18	2.070000171661377	4.0959375	0.32556250000000003
OFF	2026-05-03T02:15:23	2.068000078201294	4.0959375	0.3255
OFF	2026-05-03T02:15:28	2.074000120162964	0.0	0.32556250000000003
OFF	2026-05-03T02:15:33	2.074000120162964	0.0	0.325625
OFF	2026-05-03T02:15:38	2.071000099182129	4.0959375	0.3255
OFF	2026-05-03T02:15:43	2.059000015258789	4.0959375	0.3255
OFF	2026-05-03T02:15:48	2.06000018119812	0.0	0.32575
OFF	2026-05-03T02:15:54	2.055999994277954	4.095875	0.32525
OFF	2026-05-03T02:15:59	2.057000160217285	0.0	0.32575
OFF	2026-05-03T02:16:04	2.0530002117156982	4.0959375	0.3255
OFF	2026-05-03T02:16:09	2.052000045776367	4.095875	0.3254375
OFF	2026-05-03T02:16:14	2.0510001182556152	0.0	0.325625
OFF	2026-05-03T02:16:19	2.0510001182556152	0.0	0.32556250000000003
OFF	2026-05-03T02:16:24	2.0490000247955322	4.0959375	0.325625
OFF	2026-05-03T02:16:30	2.052000045776367	0.0	0.3256875
OFF	2026-05-03T02:16:35	2.0470001697540283	4.095875	0.325375
OFF	2026-05-03T02:16:40	2.05400013923645	4.09575	0.3254375
OFF	2026-05-03T02:16:45	2.0510001182556152	0.0	0.3255
OFF	2026-05-03T02:16:50	2.055000066757202	4.0959375	0.3254375
OFF	2026-05-03T02:16:55	2.0470001697540283	0.0	0.32556250000000003
OFF	2026-05-03T02:17:00	2.0450000762939453	4.095875	0.3251875
OFF	2026-05-03T02:17:06	2.0450000762939453	4.0959375	0.32556250000000003
OFF	2026-05-03T02:17:11	2.052000045776367	4.0959375	0.3254375
OFF	2026-05-03T02:17:16	2.0530002117156982	4.095875	0.32525
OFF	2026-05-03T02:17:21	2.0530002117156982	0.0	0.3254375
OFF	2026-05-03T02:17:26	2.0490000247955322	0.0	0.325375
OFF	2026-05-03T02:17:31	2.0530002117156982	4.095875	0.325375
OFF	2026-05-03T02:17:36	2.0480000972747803	0.0	0.3255
